Nodes,Sub-type / VOC,Gold ,Silver & Bronze, New & Iron 
"Expectation Mismatch

Resolve under Issue type -  Expectation Mismatch
Disposition: Issue with an order - Expectation Mismatch-Exchange/Return Request","SIZE

VOC: 
The size is too small/big

","Verify if the image matches the product ordered by the customer

Only if there is a discrepancy in the dimensions/information related to the size of the item, provide RPU.

Otherwise, give Service No

",,Service No
,"QUALITY

VOC:
I don't like the quality of this product
The sound quality is not good
Seems fake/duplicate","Service No, refer to brand.


Fake/Authenticity Concerns

Canned Ressponse- We take product authenticity very seriously and work only with trusted sellers and authorized partners to ensure that all items meet our quality standards.",,"Service no, refer to brand."
,"Colour

VOC:
I have received different color
Incorrect color received","Verify if the image matches the product ordered by the customer


Check the product description and the product packaging to check if the product delivered is correct, 

Once confirmed, if the color displayed is same as delivered, Service No

If the color displayed/mentioned does not match with delivered item, 

Check for PO Eligible tag,
If present, provide RPU.
If the slot/stock is not available- Ask the cx to come back tomorrow between 9am to 6pm

If tag is not present, politely give Service no.",,Service No
,"Design

VOC:
I don't like the design
I received a different pattern
Assortment","Verify if the image matches the product ordered by the customer


Check the product description and the product packaging to check if the product delivered is correct,

 Once confirmed, if the design displayed is same as delivered, Service No

If the design displayed/mentioned does not match with delivered item, 

Check for PO Eligible tag,
If present, provide RPU.
If the slot/stock is not available- Ask the cx to come back tomorrow between 9am to 6pm
 
If tag is not present, politely give Service no.
",,Service No
,"Other

Not working as expected-
e.g. 
Not charging fast enough
Logo missing
Logo present
Not cooling as per the expectation
Not vibrating as per the expectation
Not heating as per the expectation

","Service No, refer to brand.",,"Service No, refer to brand."
"Ordered by Mistake

Resolve under Issue type -  Ordered by Mistake (Expectation Mismatch if Ord by mis is not visible)
Disposition: Issue with an order - Issue with an order - Ordered by Mistake","1. Duplicate Order/Item/Payment got stuck
2. Accidental Purchase (e.g., item added to cart and purchased unintentionally) 
3. Selected the Wrong Quantity
4. Ordered for the Wrong Address
5. Customer thought the previous order was canceled but it wasn't
6. Wanted to order different product - for ex - TWS instead of wired
7. Wanted to order different variant/model
8. Wanted to order different colour
","Ask for a video of the product packaging from all sides.

Item is Intact/Unopened
Initiate an RPU.
If the slot/stock is not available- Ask the cx to come back tomorrow between 9am to 6pm


Item is Opened
Politely give a Service no.

Note- For single item prepaid & COD orders, proceed with a service no in case of accidental purchase.


Resolve under Issue type -  Ordered by Mistake (Expectation Mismatch if Ord by mis is not visible)
Disposition: Issue with an order - Issue with an order - Ordered by Mistake",,Service No
,Other Reasons ,Service No,Service No,Service No
The item(s) are physically damaged,,"Verify if the image matches the product ordered by the customer


Verify image/ video 

Replacement/ RPU as per cx preference

Image/ video not verified: Deny

Disposition: Issue with an order-Item/Freebie Damaged","Verify if the image matches the product ordered by the customer


Verify the damage is visible in image/ video

Item in Stock: Replacement only, 
Item OOS: RPU

If the damage is not visible in Image/ video: Deny

Disposition: Issue with an order-Item/Freebie Damaged

If the cx states that the product inside is old /used  

Give Service No

Canned Response-While we carefully verify all order packaging before dispatch, we regret to inform you that we are unable to offer a resolution in this case. Your understanding is appreciated.

Note: This resolution applies regardless of whether the product’s seal is open or intact.
","Verify if the image matches the product ordered by the customer


Verify the damage in image/ video

Item in Stock: Replacement only, 
Item OOS: RPU

If the damage is not visible in Image/ video: Deny

Disposition: Issue with an order-Item/Freebie Damaged

If the cx states that the product inside is old /used  

Give Service No

Canned Response-While we carefully verify all order packaging before dispatch, we regret to inform you that we are unable to offer a resolution in this case. You understanding is appreciated.

Note: This resolution applies regardless of whether the product’s seal is open or intact.
"
The item(s) are not packed or sealed properly,,"Verify if the image matches the product ordered by the customer


Verify image/ video 

Replacement/ RPU as per cx preference

Image/ video not verified: Deny

Disposition: Issue with packaging-Packaging not Intact/Packaging Feedback","Verify if the image matches the product ordered by the customer


Verify image/ video

Item in Stock: Replacement only, 
Item OOS: RPU

Image/ video not verified: Deny

Disposition: Issue with packaging-Packaging not Intact/Packaging Feedback

","Verify if the image matches the product ordered by the customer


Verify image/ video

Item in Stock: Replacement only, 
Item OOS: RPU

Image/ video not verified: Deny

Disposition: Issue with packaging-Packaging not Intact/Packaging Feedback"
"The item(s) are missing

",Follow the Missing Item Policy,,,
